Ubigeo,Departamento,Provincia,Distrito,Población 2017
010101,Amazonas,Chachapoyas,Chachapoyas,32589
010102,Amazonas,Chachapoyas,Asunción,262
010103,Amazonas,Chachapoyas,Balsas,1136
010104,Amazonas,Chachapoyas,Cheto,642
010105,Amazonas,Chachapoyas,Chiliquín,585
010106,Amazonas,Chachapoyas,Chuquibamba,1781
010107,Amazonas,Chachapoyas,Granada,480
010108,Amazonas,Chachapoyas,Huancas,1258
010109,Amazonas,Chachapoyas,La Jalca,3978
010110,Amazonas,Chachapoyas,Leimebamba,3620
010111,Amazonas,Chachapoyas,Levanto,794
010112,Amazonas,Chachapoyas,Magdalena,852
010113,Amazonas,Chachapoyas,Mariscal Castilla,1367
010114,Amazonas,Chachapoyas,Molinopampa,2176
010115,Amazonas,Chachapoyas,Montevideo,496
010116,Amazonas,Chachapoyas,Olleros,375
010117,Amazonas,Chachapoyas,Quinjalca,769
010118,Amazonas,Chachapoyas,San Francisco de Daguas,295
010119,Amazonas,Chachapoyas,San Isidro de Maino,580
010120,Amazonas,Chachapoyas,Soloco,1224
010121,Amazonas,Chachapoyas,Sonche,247
010201,Amazonas,Bagua,Bagua,27102
010202,Amazonas,Bagua,Aramango,9765
010203,Amazonas,Bagua,Copallín,4595
010204,Amazonas,Bagua,El Parco,1216
010205,Amazonas,Bagua,Imaza,25162
010206,Amazonas,Bagua,La Peca,6260
010301,Amazonas,Bongará,Jumbilla,1337
010302,Amazonas,Bongará,Chisquilla,306
010303,Amazonas,Bongará,Churuja,287
010304,Amazonas,Bongará,Corosha,772
010305,Amazonas,Bongará,Cuispes,669
010306,Amazonas,Bongará,Florida,5999
010307,Amazonas,Bongará,Jazán,7580
010308,Amazonas,Bongará,Recta,208
010309,Amazonas,Bongará,San Carlos,489
010310,Amazonas,Bongará,Shipasbamba,1539
010311,Amazonas,Bongará,Valera,874
010312,Amazonas,Bongará,Yambrasbamba,5577
010401,Amazonas,Condorcanqui,Nieva,18626
010402,Amazonas,Condorcanqui,El Cenepa,9891
010403,Amazonas,Condorcanqui,Río Santiago,13953
010501,Amazonas,Luya,Lámud,2227
010502,Amazonas,Luya,Camporredondo,6473
010503,Amazonas,Luya,Cocabamba,1881
010504,Amazonas,Luya,Colcamar,1853
010505,Amazonas,Luya,Conila,1840
010506,Amazonas,Luya,Inguilpata,498
010507,Amazonas,Luya,Longuita,839
010508,Amazonas,Luya,Lonya Chico,842
010509,Amazonas,Luya,Luya,3959
010510,Amazonas,Luya,Luya Viejo,388
010511,Amazonas,Luya,María,744
010512,Amazonas,Luya,Ocalli,3556
010513,Amazonas,Luya,Ocumal,3446
010514,Amazonas,Luya,Pisuquía,4768
010515,Amazonas,Luya,Providencia,1316
010516,Amazonas,Luya,San Cristóbal,546
010517,Amazonas,Luya,San Francisco del Yeso,695
010518,Amazonas,Luya,San Jerónimo,633
010519,Amazonas,Luya,San Juan de Lopecancha,419
010520,Amazonas,Luya,Santa Catalina,1888
010521,Amazonas,Luya,Santo Tomás,3012
010522,Amazonas,Luya,Tingo,1265
010523,Amazonas,Luya,Trita,1348
010601,Amazonas,Rodríguez de Mendoza,San Nicolás,6016
010602,Amazonas,Rodríguez de Mendoza,Chirimoto,2498
010603,Amazonas,Rodríguez de Mendoza,Cochamal,595
010604,Amazonas,Rodríguez de Mendoza,Huambo,2620
010605,Amazonas,Rodríguez de Mendoza,Limabamba,2280
010606,Amazonas,Rodríguez de Mendoza,Longar,1631
010607,Amazonas,Rodríguez de Mendoza,Mariscal Benavides,1506
010608,Amazonas,Rodríguez de Mendoza,Mílpuc,453
010609,Amazonas,Rodríguez de Mendoza,Omia,8793
010610,Amazonas,Rodríguez de Mendoza,Santa Rosa,512
010611,Amazonas,Rodríguez de Mendoza,Totora,282
010612,Amazonas,Rodríguez de Mendoza,Vista Alegre,2812
010701,Amazonas,Utcubamba,Bagua Grande,50841
010702,Amazonas,Utcubamba,Cajaruro,23089
010703,Amazonas,Utcubamba,Cumba,7855
010704,Amazonas,Utcubamba,El Milagro,5825
010705,Amazonas,Utcubamba,Jamalca,6620
010706,Amazonas,Utcubamba,Lonya Grande,10080
010707,Amazonas,Utcubamba,Yamón,2927
020101,Áncash,Huaraz,Huaraz,60896
020102,Áncash,Huaraz,Cochabamba,1639
020103,Áncash,Huaraz,Colcabamba,294
020104,Áncash,Huaraz,Huanchay,1600
020105,Áncash,Huaraz,Independencia,76088
020106,Áncash,Huaraz,Jangas,4781
020107,Áncash,Huaraz,La Libertad,1066
020108,Áncash,Huaraz,Olleros,2351
020109,Áncash,Huaraz,Pampas Grande,956
020110,Áncash,Huaraz,Pariacoto,4606
020111,Áncash,Huaraz,Pira,3321
020112,Áncash,Huaraz,Tarica,6338
020201,Áncash,Aija,Aija,2017
020202,Áncash,Aija,Coris,1639
020203,Áncash,Aija,Huacllán,364
020204,Áncash,Aija,La Merced,1582
020205,Áncash,Aija,Succha,714
020301,Áncash,Antonio Raimondi,Llamellín,3288
020302,Áncash,Antonio Raimondi,Aczo,1918
020303,Áncash,Antonio Raimondi,Chaccho,1368
020304,Áncash,Antonio Raimondi,Chingas,1851
020305,Áncash,Antonio Raimondi,Mirgas,4067
020306,Áncash,Antonio Raimondi,San Juan de Rontoy,1158
020401,Áncash,Asunción,Chacas,4563
020402,Áncash,Asunción,Acochaca,2815
020501,Áncash,Bolognesi,Chiquián,4023
020502,Áncash,Bolognesi,Abelardo Pardo,244
020503,Áncash,Bolognesi,Antonio Raimondi,994
020504,Áncash,Bolognesi,Aquia,2062
020505,Áncash,Bolognesi,Cajacay,1677
020506,Áncash,Bolognesi,Canis,312
020507,Áncash,Bolognesi,Cólquioc,2313
020508,Áncash,Bolognesi,Huallanca,6468
020509,Áncash,Bolognesi,Huasta,1432
020510,Áncash,Bolognesi,Huayllacayán,1253
020511,Áncash,Bolognesi,La Primavera,457
020512,Áncash,Bolognesi,Mangas,492
020513,Áncash,Bolognesi,Pacllón,917
